"","curso","atividade_remunerada","tipo_atividade_remunerada","ingere_alcool","se_fornao_ja_ingeriu","bebe_onde","sintomas","frequencia","ja_teve_problemas","gasto_mensal","ja_tentou_parar","o_que_leva_a_beber"
"84","Informática","Não","Não realizo","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"85","Informática","Sim","Estágio","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"86","Estatística","Não","Não realizo","Sim","Sim","Casa, Festas Universitárias","Nunca tive nenhum sintoma","Zero a uma vez","Nunca tive","0 a 20 reais","Nunca tentei","O estresse proveniente de cursar estatística."
"87","Matemática","Não","Não realizo","Não","Sim","Não bebo","Não bebo","Zero a uma vez","Nunca tive","Não bebo","Não bebo",""
"88","Química","Sim","Bolsista","Sim","","Casa, Bares, Festas Universitárias, Outros ambientes","Ressaca, Vômito, Amnésia alcóolica","Zero a uma vez","Sim","0 a 20 reais","Sim, e consegui","Gostar de estar bêbado e não se importar com os problemas "
"89","Ciência da Computação","Não","Não realizo","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"90","Matemática","Sim","Estágio","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"91","Matemática","Sim","Bolsista","Sim","","Bares","Ressaca, Vômito, Amnésia alcóolica","Mais de duas vezes","Sim","Mais de 100 reais","Sim, e consegui","Tudo, felicidade, tristezas "
"92","Informática","Sim","Trabalho Integral (CLT)","Sim","","Casa, Bares, Festas Universitárias, Outros ambientes","Ressaca, Vômito, Amnésia alcóolica","Mais de duas vezes","Sim","50 a 100 reais","Sim, e consegui","Amigos, e degustar "
"93","Ciência da Computação","Não","Não realizo","Sim","","Bares","Nunca tive nenhum sintoma","Zero a uma vez","Nunca tive","20 a 50 reais","","Bebo apenas socialmente "
"94","Ciência da Computação","Sim","Bolsista","Sim","Sim","Casa","Nunca tive nenhum sintoma","Zero a uma vez","Nunca tive","0 a 20 reais","","Só consumo cerveja, nunca consumi destilados. Consumo cerca de 2 latas de cerveja por mês, só pra relaxar em fins de semana extremamente estressantes. Normalmente são cervejas artesanais, porque o que me leva a beber é o sabor."
"95","Matemática","Sim","Bolsista","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"96","Estatística","Sim","Estágio","Sim","","Casa, Bares","Ressaca","Zero a uma vez","Não","Mais de 100 reais","Sim, e consegui",""
"97","Estatística","Sim","Trabalho Integral (CLT)","Sim","","Casa, Bares, Festas Universitárias","Ressaca, Vômito","Zero a uma vez","Não","0 a 20 reais","",""
"98","Ciência da Computação","Sim","Estágio","Sim","","Festas Universitárias","Ressaca, Vômito","Zero a uma vez","Sim","20 a 50 reais","Sim, e consegui","Socialização "
"99","Ciência da Computação","Não","Não realizo","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"100","Matemática","Sim","Bolsista","Sim","","Casa, Bares, Festas Universitárias","Ressaca","Uma a duas vezes","Sim","Mais de 100 reais","Não bebo",""
"101","Matemática","Sim","Bolsista","Sim","Sim","Bares, Festas Universitárias","Nunca tive nenhum sintoma","Zero a uma vez","Nunca tive","0 a 20 reais","Sim, e consegui","Sou tímido(a) e bebo eventualmente pra me soltar um pouco e também porque adoro o sabor de algumas bebidas. "
"102","Ciência da Computação","Sim","Bolsista","Não","Não","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"103","Informática","Sim","Trabalho Integral (CLT)","Sim","","Bares, Outros ambientes","Nunca tive nenhum sintoma","Zero a uma vez","Nunca tive","20 a 50 reais","",""
"104","Química","Sim","Bolsista","Sim","","Bares, Festas Universitárias","Amnésia alcóolica","Nenhuma vez","Não","0 a 20 reais","","Bebo raramente porque gosto do sabor, não bebo com a intenção de ficar bêbado"
"105","Ciência da Computação","Não","Não realizo","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"106","Matemática","Sim","Bolsista","Sim","","Casa, Bares, Festas Universitárias, Outros ambientes","Ressaca, Vômito, Amnésia alcóolica","Uma a duas vezes","Não","20 a 50 reais","Sim, e consegui","Estresse da faculdade, sair com os amigos"
"107","Estatística","Não","Não realizo","Sim","","Casa, Bares, Outros ambientes","Ressaca, Vômito, Amnésia alcóolica","Uma a duas vezes","Sim","50 a 100 reais","",""
